,airport_code,airport_full_name
144,BJI,Bemidji Airport  Bemidji
145,CKB,Benedum Airport  Clarksburg
146,BTN,Bennettsville Airport  Bennettsville
147,JBK,Berkeley Airport  Berkeley
148,BML,Berlin Municipal Airport  Berlin
149,UDD,Bermuda Dunes Airport  Palm Springs
150,BTM,Bert Mooney Airport  Butte
151,UIZ,Berz-Macomb Airport  Utica
152,BET,Bethel Airport  Bethel
153,BTT,Bettles Airport  Bettles
154,BVY,Beverly Municiple Airport  Beverly
155,BHC,Bhurban Heliport Airport  Bhurban
156,BYS,Bicycle Lake AAF Airport  Fort Irwin
157,RBF,Big Bear City Arpt Airport  Big Bear
158,BIC,Big Creek Airport  Big Creek
159,BIG,Big Delta Field Airport  Big Delta
160,BGQ,Big Lake Airport  Big Lake
161,BMX,Big Mountain Airport  Big Mountain
162,BPI,Big Piney-marbleton Airport  Big Piney
163,WBR,Big Rapids Airport  Big Rapids
164,BIF,Biggs Aaf Airport  El Paso
165,BIL,Billings Airport  Billings
166,KBC,Birch Creek Airport  Birch Creek
167,ESP,Birchwood-Pocono Airport  East Stroudsburg
168,BHM,Birmingham Airport  Birmingham
169,DUG,Bisbee Douglas International Airport  Douglas
170,BSQ,Bisbee Municipal Arpt Airport  Bisbee
171,DGF,Bisbee-douglas International Airport  Douglas
172,BIH,Bishop Airport  Bishop
173,FNT,Bishop International Airport  Flint
174,BIS,Bismarck Airport  Bismarck
175,SPF,Black Hills Airport  Spearfish
176,MBL,Blacker Airport  Manistee
177,BKT,Blackstone AAF Airport  Blackstone
178,BWL,Blackwell Airport  Blackwell
179,BWS,Blaine Airport  Blaine
180,BSI,Blairsville Airport  Blairsville
181,BYW,Blakely Island Airport  Blakely Island
182,BDG,Blanding Airport  Blanding
183,BID,Block Island Airport  Block Island
184,BMG,Bloomington Airport  Bloomington
185,CNK,Blosser Municipal Airport  Concordia
186,BLU,Blue Canyon Airport  Blue Canyon
187,BFB,Blue Fox Bay Airport  Blue Fox Bay
188,LEX,Blue Grass Airport  Lexington
189,LSD,"Blue Grass Station Army Heliport Airport  Lexington, KY"
190,BLH,Blythe Airport  Blythe
191,BYH,Blytheville AFB Airport  Blytheville
192,IAN,Bob Barker Memorial Airport  Kiana
193,BUR,Bob Hope Airport  Burbank
194,CEW,Bob Sikes Airport  Crestview
195,BFI,Boeing Field/King County International Airport  Seattle
196,ASH,"Boire Field Airport  Nashua, NH"
197,BOI,"Boise Air Terminal/Gowen Field Airport  Boise, ID"
198,BOF,Bolling AFB Airport  Washington
199,SYI,Bomar Field Airport  Shelbyville
200,BNW,Boone Airport  Boone
201,HRO,Boone County Airport  Harrison
202,BGD,Borger Airport  Borger
203,RLU,Bornite Upper Airport  Bornite
204,BXS,Borrego Springs Airport  Borrego Springs
205,JBC,Boston City Heliport Airport  Boston
206,BSW,Boswell Bay Airport  Boswell Bay
207,BLD,Boulder City Airport  Boulder City
208,BYA,Boundary Airport  Boundary
209,JNU,Boundary Bay Airport  Juneau
210,HQM,Bowerman Airport  Hoquiam
211,ELN,Bowers Field Airport  Ellensburg
212,BWM,Bowman Airport  Bowman
213,LOU,Bowman Field Airport  Louisville
214,BXC,Boxborough Airport  Boxborough
215,POC,Brackett Field Airport  La Verne
216,BFD,Bradford Airport  Bradford
217,BDL,"Bradley International Airport  Windsor Locks, CT"
218,BSF,Bradshaw AAF Airport  Pohakuloa
219,HFD,Brainard Airport  Hartford
220,BRD,"Brainerd Lakes Regional Airport  Brainerd, MN"
221,BWC,Brawley Airport  Brawley
222,LJN,Brazoria County Airport  Lake Jackson
223,PWT,Bremerton Airport  Bremerton
224,KTS,Brevig Mission Airport  Teller Mission
225,HDE,Brewster Field Airport  Holdrege
226,BMC,Brigham City Airport  Brigham City
227,BDX,Broadus Airport  Broadus
228,BBW,Broken Bow Airport  Broken Bow
229,WBI,Broker Inn Airport  Boulder
230,WSH,Brookhaven Airport  Shirley
231,BKX,Brookings Airport  Brookings
232,BOK,Brookings State Airport  Brookings
233,RBH,Brooks Lodge Airport  Brooks Lodge
234,SDM,Brown Field Municipal Airport  San Diego
235,EPG,Browns Airport  Weeping Water
236,BWD,Brownwood Airport  Brownwood
237,NEA,Brunswick Golden Isles Airport  Glynco
238,FRN,Bryant AAF Airport  Fort Richardson
239,BCE,Bryce Airport  Bryce
240,CCR,Buchanan Fld Airport  Concord
241,BXK,Buckeye Municipal Airport  Buckeye
242,BKC,Buckland Airport  Buckland
243,ZFZ,Buffalo Depew Rr Airport  Buffalo
244,BFK,Buffalo Municipal Airport  Buffalo
245,BUF,"Buffalo Niagara International Airport  Buffalo, NY"
246,BFG,Bullfrog Basin Airport  Bullfrog Basin
247,BKL,Burke Lakefront Airport  Cleveland
248,BRL,Burlington Airport  Burlington
249,BBF,Burlington Airport  Burlington
250,LLY,Burlington County Airport  Mount Holly
251,BTV,Burlington International Airport  Burlington
252,BNO,Burns Airport  Burns
253,ZSH,Bus Station Airport  Santa Fe
254,ZTL,Bus Station Airport  Telluride
255,AGS,Bush Field Airport  Augusta
256,BUM,Butler Airport  Butler
257,BTP,Butler County - Kenny Scholter Field Airport  Butler
258,FCS,Butts AAF Airport  Colorado Springs
259,BZS,Buzzards Pt S Airport  Washington
260,CBZ,Cabin Creek Airport  Cabin Creek
261,CCB,"Cable Airport  Upland, CA"
262,JUP,Cable Heliport Airport  Upland
